日付,時間,年,月,日,時,分,秒,オーダーNo,ロット,生産数,不良数,不良[1],不良[2],不良[3],不良[4],不良[5],不良[6]
2023/05/28,01:20:25,2023,5,28,1,20,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:20:35,2023,5,28,1,20,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:20:45,2023,5,28,1,20,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:20:55,2023,5,28,1,20,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:21:05,2023,5,28,1,21,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:21:15,2023,5,28,1,21,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:21:25,2023,5,28,1,21,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:21:35,2023,5,28,1,21,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:21:45,2023,5,28,1,21,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:21:55,2023,5,28,1,21,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:22:05,2023,5,28,1,22,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:22:15,2023,5,28,1,22,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:22:25,2023,5,28,1,22,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:22:35,2023,5,28,1,22,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:22:45,2023,5,28,1,22,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:22:55,2023,5,28,1,22,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:23:05,2023,5,28,1,23,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:23:15,2023,5,28,1,23,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:23:25,2023,5,28,1,23,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:23:35,2023,5,28,1,23,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:23:45,2023,5,28,1,23,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:23:55,2023,5,28,1,23,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:24:05,2023,5,28,1,24,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:24:15,2023,5,28,1,24,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:24:25,2023,5,28,1,24,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:24:35,2023,5,28,1,24,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:24:45,2023,5,28,1,24,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:24:55,2023,5,28,1,24,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:25:05,2023,5,28,1,25,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:25:15,2023,5,28,1,25,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:25:25,2023,5,28,1,25,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:25:35,2023,5,28,1,25,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:25:45,2023,5,28,1,25,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:25:55,2023,5,28,1,25,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:26:05,2023,5,28,1,26,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:26:15,2023,5,28,1,26,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:26:25,2023,5,28,1,26,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:26:35,2023,5,28,1,26,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:26:45,2023,5,28,1,26,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:26:55,2023,5,28,1,26,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:27:05,2023,5,28,1,27,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:27:15,2023,5,28,1,27,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:27:25,2023,5,28,1,27,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:27:35,2023,5,28,1,27,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:27:45,2023,5,28,1,27,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:27:55,2023,5,28,1,27,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:28:05,2023,5,28,1,28,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:28:15,2023,5,28,1,28,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:28:25,2023,5,28,1,28,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:28:35,2023,5,28,1,28,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:28:45,2023,5,28,1,28,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:28:55,2023,5,28,1,28,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:29:05,2023,5,28,1,29,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:29:15,2023,5,28,1,29,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:29:25,2023,5,28,1,29,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:29:35,2023,5,28,1,29,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:29:45,2023,5,28,1,29,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:29:55,2023,5,28,1,29,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:30:05,2023,5,28,1,30,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:30:15,2023,5,28,1,30,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:30:25,2023,5,28,1,30,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:30:35,2023,5,28,1,30,33,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:30:45,2023,5,28,1,30,43,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:30:55,2023,5,28,1,30,53,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:31:05,2023,5,28,1,31,3,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:31:15,2023,5,28,1,31,13,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:31:25,2023,5,28,1,31,23,650,0,3950,0,0,0,0,1025638400,15650,0
2023/05/28,01:31:35,2023,5,28,1,31,33,650,0,3950,0,0,0,0,1025638400,15650,0
